,Name,Score,Review,Link,Addr,area,lat,lng
33,풍차로가는길,4.2,32,https://place.map.kakao.com/385616930,"
제주특별자치도 제주시 한경면 한경해안로 502-3
(지번) 한경면 신창리 1246-1
",hangyeong,33.3328723,126.1697983
34,미레이나,3.6,9,https://place.map.kakao.com/957042791,"
제주특별자치도 제주시 한경면 두모3길 17
(지번) 한경면 두모리 2781-1
",hangyeong,33.3523169,126.1827128
35,제주개생활연구소,4.9,68,https://place.map.kakao.com/1798424588,"
제주특별자치도 제주시 한경면 녹차분재로 502 1층
(지번) 한경면 저지리 3136-6
",hangyeong,33.326752,126.253367
36,고와리,4.2,4,https://place.map.kakao.com/1551824159,"
제주특별자치도 제주시 한경면 용금로 864
(지번) 한경면 저지리 2120-91
",hangyeong,33.3370712,126.2687794
37,캣빵,4.0,45,https://place.map.kakao.com/1348498094,"
제주특별자치도 제주시 한경면 중산간서로 3695
(지번) 한경면 저지리 1838-2
",hangyeong,33.3343513,126.2560889
38,빈2020,4.8,16,https://place.map.kakao.com/760714103,"
제주특별자치도 제주시 한경면 한경해안로 120
(지번) 한경면 용수리 4289
",hangyeong,33.320963,126.178538
39,보타닉제주꼬피띠암,4.9,20,https://place.map.kakao.com/1696477294,"
제주특별자치도 제주시 한경면 저지4길 57 1층 보타닉제주꼬피띠암
(지번) 한경면 저지리 1550
",hangyeong,33.3267874,126.2593722
40,곶자왈보석상자,2.5,0,https://place.map.kakao.com/1021735455,"
제주특별자치도 제주시 한경면 청수서4길 29-10
(지번) 한경면 청수리 1245-2
",hangyeong,33.3078607,126.2497051
41,요나스,5.0,6,https://place.map.kakao.com/868062632,"
제주특별자치도 제주시 한경면 신한로 17 1층
(지번) 한경면 신창리 229-1
",hangyeong,33.3496635,126.185099
42,달아래팥,4.9,10,https://place.map.kakao.com/27417809,"
제주특별자치도 제주시 한경면 낙수로 148
(지번) 한경면 낙천리 1647-4
",hangyeong,33.3240679,126.2291082
43,브라운타임,5.0,23,https://place.map.kakao.com/1778956022,"
제주특별자치도 제주시 한경면 중산간서로 3647 1층
(지번) 한경면 저지리 1715-16
",hangyeong,33.3303576,126.2551976
44,담앙족욕카페,4.2,5,https://place.map.kakao.com/299502916,"
제주특별자치도 제주시 한경면 녹차분재로 594-1
(지번) 한경면 저지리 2848-2
",hangyeong,33.3225764,126.2633048
45,카페온결,4.7,14,https://place.map.kakao.com/1702867045,"
제주특별자치도 제주시 한경면 일주서로 4428 1층
(지번) 한경면 금등리 806-8
",hangyeong,33.3599287,126.1908097
46,오오디,5.0,4,https://place.map.kakao.com/1201382621,"
제주특별자치도 제주시 한경면 용금로 360-10
(지번) 한경면 조수리 1699-1
",hangyeong,33.3317188,126.2187989
47,아녹,5.0,11,https://place.map.kakao.com/469266534,"
제주특별자치도 제주시 한경면 낙조길 22 1층
(지번) 한경면 낙천리 2185
",hangyeong,33.323214,126.2242973
48,쓰쓰카페,4.5,5,https://place.map.kakao.com/1529120192,"
제주특별자치도 제주시 한경면 성굴로 34-6 1층
(지번) 한경면 신창리 1054-4
",hangyeong,33.3382691,126.1837415
49,달링하버,5.0,10,https://place.map.kakao.com/1190802900,"
제주특별자치도 제주시 한경면 금등대안3길 42-10 1층
(지번) 한경면 금등리 172
",hangyeong,33.3459363,126.210798
50,차생활,5.0,12,https://place.map.kakao.com/400687405,"
제주특별자치도 제주시 한경면 용금로 862-34 1층
(지번) 한경면 저지리 2139
",hangyeong,33.3358091,126.2694961
51,올인원제주,5.0,0,https://place.map.kakao.com/156424422,"
제주특별자치도 제주시 한경면 일주서로 4459-10 2층
(지번) 한경면 금등리 652
",hangyeong,33.3414039,126.1898997
52,수월해지다,3.5,13,https://place.map.kakao.com/1176332551,"
제주특별자치도 제주시 한경면 고산리 3760 수월봉 팔각정 1층

",hangyeong,33.29475499999999,126.1634484
53,반디왓,5.0,1,https://place.map.kakao.com/757773983,"
제주특별자치도 제주시 한경면 청수동7길 51 1층
(지번) 한경면 청수리 98
",hangyeong,33.3085219,126.2603881
54,초록지붕,5.0,6,https://place.map.kakao.com/144897195,"
제주특별자치도 제주시 한경면 연명로 509
(지번) 한경면 저지리 3242-4
",hangyeong,33.3147109,126.2641179
55,카페하리,4.9,10,https://place.map.kakao.com/1210905535,"
제주특별자치도 제주시 한경면 녹차분재로 546 1층
(지번) 한경면 저지리 3024
",hangyeong,33.326752,126.253367
56,새로,5.0,2,https://place.map.kakao.com/720690155,"
제주특별자치도 제주시 한경면 중산간서로 3669 주황색 카페
(지번) 한경면 저지리 1859-6
",hangyeong,33.3320962,126.256253
57,바람과언덕,4.0,1,https://place.map.kakao.com/839325267,"
제주특별자치도 제주시 한경면 노을해안로 1203-4
(지번) 한경면 고산리 3581
",hangyeong,33.3071297,126.1684779
58,가보카,5.0,5,https://place.map.kakao.com/871698380,"
제주특별자치도 제주시 한경면 명이2길 31 1층
(지번) 한경면 저지리 3218-1
",hangyeong,33.3173958,126.264702
59,내가여기서이걸할줄몰랐다,0.0,5,https://place.map.kakao.com/2074231774,"
제주특별자치도 제주시 한경면 한경해안로 565
(지번) 한경면 신창리 542-9
",hangyeong,33.3328723,126.1697983
60,코삿호다,5.0,2,https://place.map.kakao.com/684526411,"
제주특별자치도 제주시 한경면 판포리 2881-3 제 1동 1층

",hangyeong,33.3655124,126.1985995
61,단당류,4.5,3,https://place.map.kakao.com/790464020,"
제주특별자치도 제주시 한경면 녹차분재로 514
(지번) 한경면 저지리 3012-1
",hangyeong,33.326752,126.253367
62,초록뜰,5.0,14,https://place.map.kakao.com/447158183,"
제주특별자치도 제주시 한경면 중산간서로 3721
(지번) 한경면 저지리 2055
",hangyeong,33.3363358,126.2576421
63,카페디캠,4.2,20,https://place.map.kakao.com/1663712027,"
제주특별자치도 제주시 한경면 판조로 385
(지번) 한경면 조수리 1146
",hangyeong,33.351183,126.216621
64,카페오제,5.0,10,https://place.map.kakao.com/1755034407,"
제주특별자치도 제주시 한경면 불그못로 222
(지번) 한경면 낙천리 812-3
",hangyeong,33.295782,126.2237507
65,카페두모리에,5.0,1,https://place.map.kakao.com/1436757802,"
제주특별자치도 제주시 한경면 두모11길 52-1 1층
(지번) 한경면 두모리 2611
",hangyeong,33.3572224,126.1827323
66,카페느랏,4.6,6,https://place.map.kakao.com/1093941382,"
제주특별자치도 제주시 한경면 중산간서로 3695
(지번) 한경면 저지리 1838-2
",hangyeong,33.3343513,126.2560889
67,또또공간,5.0,12,https://place.map.kakao.com/1627861174,"
제주특별자치도 제주시 한경면 연명로 467
(지번) 한경면 청수리 42-5
",hangyeong,33.31191,126.2614826
68,핀토르 로스터리,5.0,1,https://place.map.kakao.com/1680426805,"
제주특별자치도 제주시 한경면 저지10길 2 1층 카페 핀토르
(지번) 한경면 저지리 2073-1
",hangyeong,33.3369735,126.258435
69,땡큐미 오설록점,0.0,6,https://place.map.kakao.com/368075766,"
제주특별자치도 제주시 한경면 녹차분재로 526
(지번) 한경면 저지리 3019-14
",hangyeong,33.326752,126.253367
70,제주백야,5.0,1,https://place.map.kakao.com/1135956896,"
제주특별자치도 제주시 한경면 두신로 34 1층
(지번) 한경면 신창리 482-1
",hangyeong,33.348512,126.1835683
71,별애별개,5.0,0,https://place.map.kakao.com/4308526,"
제주특별자치도 제주시 한경면 용금로 858
(지번) 한경면 저지리 2120-144
",hangyeong,33.3369349,126.2676672
72,빛나는여름,5.0,3,https://place.map.kakao.com/1593889924,"
제주특별자치도 제주시 한경면 한원북길 24
(지번) 한경면 두모리 1524-1
",hangyeong,33.3363635,126.1945761
73,산티아고가는길,5.0,3,https://place.map.kakao.com/1334782788,"
제주특별자치도 제주시 한경면 녹차분재로 505-1 나동 1층
(지번) 한경면 저지리 3139-1
",hangyeong,33.3170104,126.2699697
74,카페로서,5.0,3,https://place.map.kakao.com/1920273062,"
제주특별자치도 제주시 한경면 노을해안로 1249
(지번) 한경면 고산리 3563-4
",hangyeong,33.3047496,126.1728823
75,카페기지,5.0,1,https://place.map.kakao.com/235724990,"
제주특별자치도 제주시 한경면 저지12길 73-1
(지번) 한경면 저지리 2114
",hangyeong,33.3384742,126.2645918
76,혼디인2714,5.0,10,https://place.map.kakao.com/1129507173,"
제주특별자치도 제주시 한경면 고조로 402
(지번) 한경면 조수리 2714
",hangyeong,33.3158471,126.2025732
77,블루로즈 553,5.0,5,https://place.map.kakao.com/699810668,"
제주특별자치도 제주시 한경면 홍수암로 553 1층
(지번) 한경면 조수리 367-3
",hangyeong,33.3380702,126.2285133
78,프롬나드 제주,0.0,2,https://place.map.kakao.com/1889843326,"
제주특별자치도 제주시 한경면 금등4길 96
(지번) 한경면 금등리 485-3
",hangyeong,33.3582923,126.1969396
79,도르라미,0.0,0,https://place.map.kakao.com/1382011189,"
제주특별자치도 제주시 한경면 일주서로 4264
(지번) 한경면 신창리 118-3
",hangyeong,33.34629049999999,126.1856276
80,카페판포리,5.0,0,https://place.map.kakao.com/1555102696,"
제주특별자치도 제주시 한경면 판포4길 27 1층
(지번) 한경면 판포리 2828
",hangyeong,33.3541756,126.2148813
81,커피별바다잔,0.0,0,https://place.map.kakao.com/24955378,"
제주특별자치도 제주시 한경면 한장서길 43
(지번) 한경면 고산리 3864
",hangyeong,33.2877967,126.1666653
82,아리아커피,3.0,1,https://place.map.kakao.com/647397940,"
제주특별자치도 제주시 한경면 노을해안로 1174 마동 1층
(지번) 한경면 고산리 3605-2
",hangyeong,33.3080639,126.1655615
83,카페더그레이스,5.0,0,https://place.map.kakao.com/1699259149,"
제주특별자치도 제주시 한경면 낙수로 276
(지번) 한경면 청수리 2081-3
",hangyeong,33.3283528,126.2307993
84,쌀롱제주,0.0,0,https://place.map.kakao.com/203197803,"
제주특별자치도 제주시 한경면 저지12길 9
(지번) 한경면 저지리 532-18
",hangyeong,33.3413944,126.2580333
85,제주늘보의오후 카페,5.0,0,https://place.map.kakao.com/966509222,"
제주특별자치도 제주시 한경면 한경해안로 176
(지번) 한경면 용수리 4233
",hangyeong,33.320963,126.178538
86,차담제,0.0,0,https://place.map.kakao.com/139103924,"
제주특별자치도 제주시 한경면 고산로 28 2층
(지번) 한경면 고산리 2208-2
",hangyeong,33.3036586,126.1797526
87,단디다방,3.0,6,https://place.map.kakao.com/426580354,"
제주특별자치도 제주시 한경면 녹차분재로 571
(지번) 한경면 저지리 2965-3
",hangyeong,33.326752,126.253367
88,알다방,0.0,4,https://place.map.kakao.com/286165656,"
제주특별자치도 제주시 한경면 연명로 543 1층
(지번) 한경면 저지리 3174
",hangyeong,33.3165776,126.2674451
89,고산별이아름답다,5.0,1,https://place.map.kakao.com/1200876339,"
제주특별자치도 제주시 한경면 고산로 36
(지번) 한경면 고산리 2249-5
",hangyeong,33.3041791,126.1797096
90,쉘브르,5.0,2,https://place.map.kakao.com/1778007550,"
제주특별자치도 제주시 한경면 일주서로 4533-11 1층
(지번) 한경면 판포리 2877-2
",hangyeong,33.3654338,126.1989556
91,줄라이앤어거스트,5.0,3,https://place.map.kakao.com/1061236803,"
제주특별자치도 제주시 한경면 낙원로 93
(지번) 한경면 조수리 2357-8
",hangyeong,33.3254783,126.2263325
92,모퉁이작은집,0.0,3,https://place.map.kakao.com/1885220129,"
제주특별자치도 제주시 한경면 일주서로 4530
(지번) 한경면 판포리 2866-1
",hangyeong,33.3643933,126.1999429
93,신수카페,5.0,0,https://place.map.kakao.com/541994515,"
제주특별자치도 제주시 한경면 고락로 180-6
(지번) 한경면 고산리 451
",hangyeong,33.3040143,126.1973502
94,별난쌀핫도그,0.0,0,https://place.map.kakao.com/1114019277,"
제주특별자치도 제주시 한경면 노을해안로 1150
(지번) 한경면 고산리 3613
",hangyeong,33.3085269,126.1646779
95,미술카페 쌤,5.0,0,https://place.map.kakao.com/68617340,"
제주특별자치도 제주시 한경면 저지동길 8-27 가동
(지번) 한경면 저지리 2765-4
",hangyeong,33.333414,126.2657105
96,수월다방,0.0,0,https://place.map.kakao.com/10556350,"
제주특별자치도 제주시 한경면 고산로 23
(지번) 한경면 고산리 2203-2
",hangyeong,33.3030754,126.179389
97,바람아래카페,0.0,1,https://place.map.kakao.com/1580292836,"
제주특별자치도 제주시 한경면 판포4길 23
(지번) 한경면 판포리 2825
",hangyeong,33.363197,126.2018123
98,머물다,0.0,0,https://place.map.kakao.com/19387196,"
제주특별자치도 제주시 한경면 고산로 40
(지번) 한경면 고산리 2249-6
",hangyeong,33.3046036,126.1797029
99,에스테틱스오브슬로우,0.0,0,https://place.map.kakao.com/814388114,"
제주특별자치도 제주시 한경면 대한로 1028-3 1층
(지번) 한경면 청수리 1368
",hangyeong,33.3173027,126.2476705
100,이립,5.0,2,https://place.map.kakao.com/996391995,"
제주특별자치도 제주시 한경면 청수로 82-10 2층 201호
(지번) 한경면 청수리 1359
",hangyeong,33.3156108,126.2494171
101,로보로봇,3.0,3,https://place.map.kakao.com/1180081680,"
제주특별자치도 제주시 한경면 한원남길 1 1층
(지번) 한경면 두모리 1383-2
",hangyeong,33.3312037,126.1988967
102,카페리나,5.0,0,https://place.map.kakao.com/4311050,"
제주특별자치도 제주시 한경면 고락로 4
(지번) 한경면 고산리 2212
",hangyeong,33.3033042,126.1801143
103,쿠싱샌드위치카페,0.0,0,https://place.map.kakao.com/893435448,"
제주특별자치도 제주시 한경면 중산간서로 3728
(지번) 한경면 저지리 2072-1
",hangyeong,33.3364308,126.2584361
104,카페모작,0.0,0,https://place.map.kakao.com/269935265,"
제주특별자치도 제주시 한경면 한경해안로 23-24
(지번) 한경면 용수리 2866
",hangyeong,33.320963,126.178538
105,플루스커피,5.0,1,https://place.map.kakao.com/312200762,"
제주특별자치도 제주시 한경면 낙조길 178-45 1동 1층
(지번) 한경면 조수리 3041
",hangyeong,33.323214,126.2242973
106,테이크타임커피로스터스,5.0,0,https://place.map.kakao.com/1254048865,"
제주특별자치도 제주시 한경면 한경해안로 552-21 1층
(지번) 한경면 신창리 1305
",hangyeong,33.3445657,126.1768781
107,크로플카페 도이,0.0,0,https://place.map.kakao.com/866503655,"
제주특별자치도 제주시 한경면 저지14길 35
(지번) 한경면 저지리 2114-63
",hangyeong,33.340259,126.2662946
108,에피소드,3.8,0,https://place.map.kakao.com/693572114,"
제주특별자치도 제주시 한경면 고조로 62
(지번) 한경면 고산리 2115-5
",hangyeong,33.3058146,126.1881704
109,바람커피,0.0,0,https://place.map.kakao.com/58891985,"
제주특별자치도 제주시 한경면 판포1길 7-3
(지번) 한경면 판포리 2916-1
",hangyeong,33.3647675,126.1983323
110,제주낭그늘,0.0,0,https://place.map.kakao.com/309217050,"
제주특별자치도 제주시 한경면 낙수로 97 1층
(지번) 한경면 낙천리 1913
",hangyeong,33.3280452,126.2270023
111,서담갤러리카페,5.0,2,https://place.map.kakao.com/1945206867,"
제주특별자치도 제주시 한경면 저지12길 103-2
(지번) 한경면 저지리 2120-129
",hangyeong,33.3397466,126.261347
